,file,page,nb_pages,path,commune,section,parcelle,authorized_area,forbidden_area,no_authorization_needed_area
31,data/doc/raw/2018/2018-12-11_RAA-2018-153.pdf,13,3,data/doc/pdfa/2018/2018-12-11_R02-2018-12-07-004.pdf,SCHCŒLCHER,T,"1413,",0.14980000000000002,0.0,0
32,data/doc/raw/2018/2018-12-11_RAA-2018-153.pdf,17,3,data/doc/pdfa/2018/2018-12-11_R02-2018-12-07-003.pdf,CASE-PILOTE,E,617,0.19290000000000002,0.0379,0
33,data/doc/raw/2018/2018-02-15_RAA-2018-018.pdf,22,3,data/doc/pdfa/2018/2018-02-15_R02-2018-01-31-005.pdf,LES TROIS-ÎLETS,C,1459,1.0854000000000001,0.0,0
34,data/doc/raw/2018/2018-02-15_RAA-2018-018.pdf,26,4,data/doc/pdfa/2018/2018-02-15_R02-2018-01-31-004.pdf,LE DIAMANT,B,754,0.0315,0.14140000000000003,0
35,data/doc/raw/2018/2018-02-15_RAA-2018-018.pdf,31,3,data/doc/pdfa/2018/2018-02-15_R02-2018-01-31-003.pdf,LE MARIN,B,257,0.42219999999999996,0.2177,0
36,data/doc/raw/2018/2018-02-15_RAA-2018-018.pdf,35,2,data/doc/pdfa/2018/2018-02-15_R02-2018-02-05-002.pdf,LE ROBERT,C,"950, 1152, 1613",0.0,0.0,0
37,data/doc/raw/2018/2018-07-06_RAA-2018-084.pdf,44,3,data/doc/pdfa/2018/2018-07-06_R02-2018-06-27-007.pdf,LE DIAMANT,E,1235,0.4,0.0,0
38,data/doc/raw/2018/2018-07-06_RAA-2018-084.pdf,48,2,data/doc/pdfa/2018/2018-07-06_R02-2018-07-02-002.pdf,LES TROIS-LETS,|,175,0.0,0.0,0
39,data/doc/raw/2018/2018-07-06_RAA-2018-084.pdf,51,3,data/doc/pdfa/2018/2018-07-06_R02-2018-07-03-004.pdf,LES TROIS-ILETS,C,937,0.1743,0.0882,0
40,data/doc/raw/2018/2018-07-06_RAA-2018-084.pdf,55,3,data/doc/pdfa/2018/2018-07-06_R02-2018-07-05-001.pdf,SAINTE-LUCE,|,"380,",0.0,0.0259,0
41,data/doc/raw/2018/2018-07-06_RAA-2018-084.pdf,59,3,data/doc/pdfa/2018/2018-07-06_R02-2018-07-03-003.pdf,LES ANSES-D'ARLET,À,89,0.0,0.0,0
42,data/doc/raw/2018/2018-07-06_RAA-2018-084.pdf,63,3,data/doc/pdfa/2018/2018-07-06_R02-2018-07-03-005.pdf,LE DIAMANT,B,800,0.193,0.027,0
43,data/doc/raw/2018/2018-06-07_RAA-2018-070.pdf,28,4,data/doc/pdfa/2018/2018-06-07_R02-2018-06-04-001.pdf,LE ROBERT,T,254,0.2162,0.0253,0
44,data/doc/raw/2018/2018-06-07_RAA-2018-070.pdf,33,2,data/doc/pdfa/2018/2018-06-07_R02-2018-05-31-005.pdf,CASE-PILOTE,B,1912,0.0,0.07890000000000001,0
45,data/doc/raw/2018/2018-06-07_RAA-2018-070.pdf,36,3,data/doc/pdfa/2018/2018-06-07_R02-2018-06-04-002.pdf,CASE-PILOTE,D,30,0.0,1.2751000000000001,0
46,data/doc/raw/2018/2018-06-07_RAA-2018-070.pdf,40,2,data/doc/pdfa/2018/2018-06-07_R02-2018-05-31-004.pdf,CASE-PILOTE,B,1912,0.0,0.050600000000000006,0
47,data/doc/raw/2018/2018-10-22_RAA-2018-131.pdf,57,2,data/doc/pdfa/2018/2018-10-22_R02-2018-10-17-001.pdf,SAINTE-LUCE,D,1704,0.0834,0.06659999999999999,0
48,data/doc/raw/2018/2018-10-22_RAA-2018-131.pdf,60,2,data/doc/pdfa/2018/2018-10-22_R02-2018-10-17-002.pdf,SCHŒLCHER,H,"195, 196",0.1631,0.275,0
49,data/doc/raw/2018/2018-03-15_RAA-2018-036.pdf,14,4,data/doc/pdfa/2018/2018-03-15_R02-2018-03-12-004.pdf,FORT-DE-FRANCE,R,784,0.9821,0.0,0
50,data/doc/raw/2018/2018-03-15_RAA-2018-036.pdf,19,3,data/doc/pdfa/2018/2018-03-15_R02-2018-03-05-016.pdf,LE MARIN,K,975,0.0,0.2896,0
51,data/doc/raw/2018/2018-12-11_RAA-2018-152.pdf,198,4,data/doc/pdfa/2018/2018-12-11_R02-2018-12-03-001.pdf,SAINT-PIERRE,I,94,14.545,0.0,0
52,data/doc/raw/2018/2018-12-17_RAA-2018-155.pdf,34,3,data/doc/pdfa/2018/2018-12-17_R02-2018-12-10-016.pdf,LES ANSES-D'ARLET,C,576,0.6318,0.0498,0
53,data/doc/raw/2018/2018-11-12_RAA-2018-142.pdf,51,3,data/doc/pdfa/2018/2018-11-12_R02-2018-11-06-003.pdf,LES TROIS-ÎLETS,C,2176,0.14670000000000002,0.1062,0
54,data/doc/raw/2018/2018-11-12_RAA-2018-142.pdf,55,4,data/doc/pdfa/2018/2018-11-12_R02-2018-11-06-004.pdf,LES TROIS-ÎLETS,|,"904,",0.1136,0.20020000000000002,0
